grupo,area,areacod,num,profes,est,salario,especie,lineas,jovinpre,artb,ponnal,ponint,otros,matripos,joinvcol,proyext,mov,centrosex,arta,caplibr,libr,patentes,gmaesdoc,inves,sumah,hmax,numproy,invesjun,gmaes,codi
Agro,CIENCIAS,1,1,1.495148778,1.316408277,6.174165249,0.693147182,1.791759491,0,2.483749628,0,0,0.693147182,1.316408277,0,0,0,0,1.391446471,0,0,0,0.405465096,0.810930192,0,0,0,0.693147182,0.693147182,0
Algebra,CIENCIAS,1,2,2.00955534,0,7.301939964,0.693147182,2.079441547,1.098612309,2.380313635,0,0,1.098612309,0,0,0,1.609437943,0,1.496705651,0,0,0,0.405465096,1.011600971,0,0,1.098612309,1.098612309,0.693147182,3.653799534
GIAN,SALUD,3,3,2.093097925,1.593308568,7.497568607,5.684363365,1.791759491,1.098612309,2.838749647,0,0,2.197224617,1.593308568,0.693147182,6.158903599,1.609437943,0,2.072948217,1.098612309,0,0,0.405465096,1.704748034,2.639057398,1.386294365,1.791759491,1.386294365,0.693147182,3.792150497
Multiv,CIENCIAS,1,4,1.593308568,0,7.433010578,0.693147182,1.791759491,1.386294365,2.380313635,0,0,0,0,0,0,0.693147182,0,2.626437664,0,0,0,0.405465096,0,2.302585125,1.791759491,1.609437943,0,0.693147182,3.209154606
ANFI,CIENCIAS,1,5,1.004301667,0,5.395199299,0.693147182,1.098612309,0,1.809641361,0,1.609437943,1.386294365,0,0,0,0.693147182,0,0,0,0,0,0,0.559615791,0,0,0,0,0,0
AEE,SOCIALES,4,6,2.234306335,0,7.320903778,1.288020968,1.386294365,1.098612309,0,0,0,0,0,0,2.287224054,1.098612309,0,0,0,1.098612309,0,0.405465096,0.405465096,0,0,0,0.693147182,0.693147182,3.057160378
AMP,SOCIALES,4,7,1.646733642,0.693147182,6.572332382,3.361849785,2.197224617,0.693147182,2.07083869,0,0,2.397895336,0.693147182,0,1.953944564,0,0,0,0,0,0,0,0.559615791,0,0,0.693147182,0,0,0
B&C,SALUD,3,8,1.800058246,0.900161326,6.908779144,3.504363298,1.098612309,0.693147182,1.809641361,0,0,0,0.900161326,0,3.083751202,0,0,2.430263996,0,0,0,0.693147182,0.810930192,1.791759491,1.386294365,0.693147182,0.693147182,0,3.792107105
BIOALI,CIENCIAS,1,9,1.646733642,1.495148778,6.462194443,4.075948238,1.945910096,1.098612309,1.809641361,0,0,0,1.495148778,0,4.589164257,0,0,1.493394971,1.098612309,0,0,0,0.810930192,1.791759491,1.386294365,1.609437943,0.693147182,0,3.074700832
BIOMA,CIENCIAS,1,10,1.386294365,1.536867261,6.524782181,1.164451122,1.386294365,1.098612309,0,0,0,0,1.536867261,0.693147182,6.341433048,0,0,0,0,0,0,0.405465096,0.91629076,0,0,1.791759491,1.386294365,0.693147182,4.254920483
Biogenesis,SALUD,3,11,1.745715499,1.366091609,7.273322105,0.693147182,2.302585125,0.693147182,2.838749647,0,0,0.693147182,1.366091609,1.386294365,6.228128433,1.386294365,0,2.809254169,0,0,0,1.386294365,1.609437943,2.639057398,2.197224617,1.386294365,1.945910096,1.945910096,4.387012005
CIB,SALUD,3,12,1.241268635,1.432700753,5.763399601,0.693147182,1.609437943,0,2.07083869,0,0,0,1.432700753,0.693147182,0,0.693147182,0,2.560224056,0,0,0,0.693147182,1.386294365,3.135494232,2.890371799,0,1.609437943,0,0
ByC,SALUD,3,13,1.098612309,1.366091609,6.325646877,0.693147182,1.609437943,1.098612309,2.380313635,0,0,0.693147182,1.366091609,0,0,1.098612309,0,0.891346335,0,0,0,1.098612309,1.098612309,2.484906673,2.484906673,1.098612309,1.098612309,0,4.044754028
BCEI,CIENCIAS,1,14,1.386294365,1.865629315,6.751989841,4.17436552,2.397895336,1.386294365,2.248443365,0,0,0.693147182,1.865629315,1.098612309,7.149804115,0,0,3.211548805,1.098612309,0,0,1.704748034,1.83258152,3.33220458,2.639057398,2.197224617,1.098612309,1.791759491,5.509158611
Biodont,SALUD,3,15,1.492904067,0,5.612704277,3.16682601,1.609437943,0.693147182,2.483749628,0,1.098612309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386294365,0,0,0
BIOPOLIMER,SALUD,3,16,0.693147182,1.745715499,5.110293388,4.728717327,1.791759491,1.098612309,1.809641361,0,0,0,1.745715499,1.609437943,6.874796391,0,0,2.054489374,0,0,0,0.91629076,1.098612309,1.609437943,1.609437943,1.386294365,1.098612309,0.693147182,3.832702637
